"spp","x","y","dbh","ht"
"Cc",2.9,1.02,13.06,13.48
"Oo",2.97,4.81,26.41,18.73
"Ii",3,5.47,17.61,14.24
"Mm",2.99,9.94,17.86,14.96
"Dd",4.06,7.01,27.85,19.1
"Ee",5.93,9.18,14.51,14.48
"Cc",7.58,9.95,12.7,11.41
"Ff",9.29,7.33,25.45,17.88
"Ee",8.72,7.22,30.2,18
"Ff",9.72,5.57,22.85,16.36
"Bb",6.55,3.69,12.22,11.62
"Dd",9.57,5.11,14.79,12.67
"Bb",1.84,10.46,18.69,15.12
"Aa",1.83,12.03,20.08,15.38
"Dd",4.68,10.81,24.28,18.45
"Gg",1.04,20.17,13.23,14.65
"Nn",4.07,15.65,14.61,14.3
"Ll",9.32,16.75,12.6,11.57
"Oo",9.64,15.13,14.36,12.9
"Cc",5.52,11.85,10.81,11.33
"Qq",14.84,10.83,19.75,16.52
"Dd",10.51,15.46,16.08,14.03
"Bb",11.63,19.74,13.38,12.87
"Dd",14.04,16.93,12.79,12.62
"Jj",19.14,18.92,40.26,22.56
"Ii",18.16,9.82,39.05,20.2
"Hh",17.44,11.78,14.3,13.47
"Ll",20.02,10.58,15.81,15
"Nn",11.26,1.46,19.5,16.24
"Ff",12.97,5.61,16.59,14.25
"Bb",14.59,4.8,23.69,18.78
"Qq",15.19,4.69,14.38,13.8
"Aa",14.56,1.7,21.71,17.09
"Cc",14.03,1.49,13.17,13.15
"Ff",14.64,9.64,36.15,19.62
"Ff",14.8,8.31,30.08,19.75
"Hh",13.43,5.56,13.57,12.64
"Bb",15.46,0.44,23.77,16.31
"Mm",17.96,3.24,12.36,11.82
"Kk",1.33,22.85,11.72,10.82
"Ff",0.7,24.24,12.52,11.69
"Hh",3.28,29.76,14.61,13.63
"Ll",4.06,29.08,11.14,12.14
"Ii",4.48,27.41,21.65,16.24
"Ee",6.02,25.02,22.45,16.47
"Ff",6.04,26.59,21.42,16.17
"Aa",9.94,25.41,13.62,12.02
"Aa",10.29,25.89,32.53,19.94
"Gg",6.67,20.43,14.93,12.23
"Oo",7.6,23.85,11.46,11.86
"Ff",1.41,37.38,18.95,15.77
"Kk",2.66,37.55,22.26,17.86
"Cc",1.63,37.14,13.64,13.52
"Ee",3.68,35.41,21.36,16.63
"Kk",5.37,32.23,22.38,16.19
"Dd",11.2,31.68,27.86,17.63
"Ii",9.98,33.05,27.19,18.66
"Ee",11.7,34.48,17.5,16.75
"Aa",14.07,30.04,27.65,17.92
"Mm",10.27,35.39,17.59,15.76
"Cc",10.61,39.42,24.15,17.36
"Bb",10.9,39.67,22.73,17.22
"Hh",11.27,39.35,12.52,13.05
"Hh",16.84,37.76,14.36,13.58
"Nn",18.71,39.07,15.94,14.7
"Bb",18.98,35.41,13.45,12.94
"Ii",14.76,20.45,17.42,15.73
"Kk",14.12,20.4,26.56,17.45
"Nn",13.86,28.28,14.11,13.76
"Ii",14.34,30.54,12.72,12.47
"Ff",16.21,24.79,19.6,16.39
"Nn",17.61,25.79,12.92,12.56
"Jj",17.04,26.19,21.92,15.41
"Cc",19.56,22.54,13.65,13.22
"Mm",18.49,22.48,19.2,16.91
"Mm",0.27,42.1,12.8,13.05
"Aa",1.85,42.86,22.78,17.58
"Cc",1.2,43.9,14.98,12.77
"Ff",5.27,47.56,14.95,13.53
"Ll",5.53,49.22,34.97,17.17
"Ff",6.97,48.77,11.48,11.41
"Aa",7.03,46.5,33,19.73
"Ii",8.97,45.22,11.68,11.25
"Ll",6.44,44.16,20.77,17.65
"Ee",1.67,51.18,25.09,17.89
"Kk",2.61,52.5,13.46,12.87
"Ff",3.31,54.06,11.18,10.71
"Aa",1.43,58.73,24.11,16.28
"Ee",7.41,58.27,36.42,21.72
"Jj",8.56,57.85,14.41,12.69
"Bb",9.18,56.84,23.03,18.75
"Cc",6.35,53.78,20.1,17.86
"Qq",14.4,55.08,35.08,19.18
"Jj",17.08,59.67,12.54,13.03
"Bb",20.6,56.12,49.97,22.84
"Nn",19.21,50.47,10.06,11.69
"Rr",18.91,51.88,15.39,15.53
"Cc",14.58,43.21,17.18,14.58
"Cc",15.87,40.92,13.2,13.27
"Hh",16.45,41.01,10.74,10.88
"Mm",16.27,41.33,30.75,17.88
"Ee",0.12,66.51,28.05,18.37
"Dd",2.07,66.53,13.61,14.22
"Gg",7.09,63.75,23.08,18.57
"Ff",8.77,61.24,25.73,16.85
"Ii",9.11,62.5,21.98,17.33
"Nn",2.95,70.38,19.7,15.55
"Gg",1.63,70.12,22.5,18.92
"Ll",5.36,76.32,15.81,13.48
"Oo",3.62,78.22,19.96,17.05
"Cc",6.89,70.53,11.89,10.81
"Ff",11.22,73.05,16.89,13.94
"Dd",12.31,72.84,25.54,18.75
"Ff",11.53,73.5,13.68,13.66
"Kk",13.57,75.29,12.65,10.9
"Jj",10.78,74.87,40.01,19.91
"Ll",17.51,80.14,10.95,10.76
"Gg",17.76,60.78,13.4,12.93
"Aa",3.51,84.67,22.45,17.59
"Ff",4.05,82.08,27.24,18.18
"Gg",6.72,96.37,13.39,13.36
"Kk",5.9,90.36,13.41,13.76
"Hh",5.84,90.54,38.89,19.84
"Ee",9.49,93.22,28.62,18.62
"Jj",9.87,93.22,20.28,15.78
"Pp",10.49,97.23,11.12,11.55
"Hh",16.73,98.03,10.74,11.55
"Dd",19.81,91.36,56.75,22.73
"Hh",8.07,103.99,24.4,18.07
"Ff",4.18,116.32,14.18,13.78
"Hh",5.19,118.72,13.87,13.98
"Dd",12.02,112.92,28.23,19.62
"Ll",10.42,118.4,13.69,12.28
"Gg",17.01,109.7,22.61,15.18
"Ff",16.43,111.23,23.04,15.66
"Qq",14.42,105.34,35.66,18.73
"Kk",16.76,105.25,32.73,18.82
"Nn",16.64,107.85,12.96,13.13
"Cc",19.94,107.18,33.7,19.18
"Ee",18.38,105.7,26.16,17.91
"Ll",8,121.17,12.93,13.39
"Ii",0.17,135.7,29.06,17.91
"Cc",1.35,139.48,21.75,15.44
"Aa",5.44,139.47,27.77,18.34
"Mm",6.41,141.24,15.11,14.48
"Kk",17.16,138.45,27.88,18.81
"Dd",17.63,131.03,34.86,18.42
"Nn",18.48,130.49,27.45,17.58
"Ee",12.36,123.15,23.44,17.19
"Cc",10.57,130.08,37.37,21.38
"Jj",16.72,125.5,21.77,17.09
"Aa",1.57,139.76,12.05,12.21
"Nn",0.78,144.52,12.82,12.17
"Hh",3.31,142.8,14.88,13.59
"Kk",2.84,145.8,14.06,12.65
"Aa",5.24,149.3,24.12,15.38
"Gg",7.37,148.01,28.94,17.98
"Aa",10.29,146.37,28.66,18.96
"Bb",4.92,143.07,14.05,13.14
"Jj",6.49,142.99,25.49,16.62
"Dd",0,159.47,11.83,12.04
"Jj",3.91,157.79,42.62,20.96
"Nn",9.3,151.23,10.47,11.12
"Cc",12.9,150.06,34.96,20.75
"Ee",13.98,161.02,28.62,18.84
"Dd",14.63,158.62,11.4,11.52
"Cc",13.9,156.62,24.33,17.27
"Jj",16.61,154.9,28.22,18.32
"Bb",16.92,154.37,31.61,19.71
"Aa",19.75,151.53,25.47,18.91
"Gg",14.84,142.7,34.76,20.01
"Ff",14.57,141.76,13.62,13.6
"Hh",12.23,148.88,18.53,15.74
"Nn",13.14,148.73,24.22,17.86
"Mm",13.22,149.26,55.43,21.69
"Hh",17.82,149.33,12.74,12.33
"Ff",19.09,149.22,15.51,13.99
"Jj",20.47,148.76,22.91,16.56
"Aa",19.63,146.77,11.29,11.18
"Ii",19.4,142.07,27.38,19.01
"Cc",18.06,140.8,10.9,11.04
"Ii",19.51,141.04,20.86,17.08
"Cc",3.51,161,17.34,14.68
"Ll",0.97,163.82,69.23,22.51
"Nn",3.99,167.71,35.81,18.5
"Dd",5.78,166.91,16.66,14.99
"Qq",5.83,167.05,11.75,11.69
"Ee",9.8,166.08,36.43,20.26
"Bb",8.9,163.53,19.7,15
"Gg",0.55,172.98,50,22.16
"Ee",2.43,174.18,18.03,14.6
"Aa",5.37,174.44,16.74,16.27
"Ee",7.85,177.73,20.76,15.12
"Cc",9.09,179.57,26.53,18.08
"Hh",7.59,171.49,13.16,13.3
"Ee",7.87,172.12,73.04,22.16
"Bb",10.07,171.91,28.1,17.84
"Bb",14.62,174.49,19.39,16.22
"Oo",14.83,173.36,11.69,11.65
"Aa",10.71,180.36,36.42,19.8
"Ee",12.78,179.56,13.2,14.34
"Hh",14.53,177.61,27.47,19.59
"Ee",14.03,177.1,22.47,16.64
"Ee",19.31,180.23,19.02,15.52
"Dd",19.2,175.28,12.65,12.78
"Ii",16.66,171.38,11.84,11.18
"Kk",10.58,160.48,15.55,13.97
"Bb",14.58,164.68,37.07,21.11
"Cc",14.59,163.59,37.2,20.34
"Jj",11.46,166.67,21.72,15.94
"Bb",12.51,166.25,11.98,11.33
"Oo",14.33,165.3,30.09,19.07
"Bb",16.48,168.88,14.38,14.75
"Aa",18.08,168.42,18.53,14.75
"Hh",17.21,162.11,20.22,16.33
"Dd",1.89,186,13.8,12.18
"Dd",0.99,186.43,21.74,19.07
"Cc",0.86,186.88,10.69,11.11
"Mm",3.63,191.5,22.14,16.22
"Jj",1.75,191.99,19.27,15.37
"Ee",3.9,193.08,25.48,17.43
"Mm",5.72,195.62,16.41,13.62
"Aa",6.01,199.54,12.33,12.89
"Ee",8.34,196.6,10.95,11.84
"Kk",5.81,191.79,20.33,18.94
"Mm",4.5,194.45,29.42,19.07
"Jj",9.35,193.45,25.47,16.42
"Ff",9.34,192.09,23.48,18.43
"Aa",11.03,189.37,15.55,13.2
"Kk",12.78,193.74,19.61,18.26
"Bb",14.48,191.72,34.01,18.8
"Mm",14.5,190.65,16.57,15.46
"Gg",11.31,198.54,12.03,12.49
"Dd",14.53,199.04,31.12,20.39
"Gg",13.96,199.81,12.9,10.75
"Gg",15.6,198.3,12.96,12.6
"Aa",15.2,199.52,24.61,17.83
"Aa",14.8,200.24,10.73,10.42
"Ff",15.07,190.35,17.1,14.07
"Ee",16.09,194.74,13.43,14.31
"Dd",16.89,191.89,15.83,13.96
"Aa",10.3,183.99,44.39,23.96
"Ee",10.17,183.82,15.61,13.13
"Nn",13.2,184.06,15.74,15.13
"Aa",12.39,180.05,18.17,15.94
"Dd",12.84,189.78,12.65,13.05
"Ff",15.97,185.73,10.59,11.5
"Ii",15.96,185.45,25.98,16.89
